date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:32:38	10/10	---MC-	404	error ('Not%20Found')	text/plain	date:Fri,%2026%20Sep%202025%2018:32:38%20GMT	https://mes-services-enligne-espace-ca.onrender.com/robots.txt		(from )
20:32:38	4412/4412	---MCZ	200	added ('OK')	text/html	etag:W/%22012b826dfb03b6855e54531d611bdb1d%22	https://mes-services-enligne-espace-ca.onrender.com/	C:/Mes%20Sites%20Web/redact/mes-services-enligne-espace-ca.onrender.com/index.html	(from )
20:32:39	4517/4517	---MCZ	403	error ('Forbidden')	text/html	date:Fri,%2026%20Sep%202025%2018:32:39%20GMT	https://kit.fontawesome.com/a076d05399.js	C:/Mes%20Sites%20Web/redact/kit.fontawesome.com/a076d05399.0.delayed	(from https://mes-services-enligne-espace-ca.onrender.com/)
20:32:41	1768/1768	---MCZ	200	added ('OK')	text/css	etag:W/%22dfb67e2d1d4323afc19f6d5b85c3f2a8%22	https://mes-services-enligne-espace-ca.onrender.com/Style.css	C:/Mes%20Sites%20Web/redact/mes-services-enligne-espace-ca.onrender.com/Style.css	(from https://mes-services-enligne-espace-ca.onrender.com/)
20:32:41	55/55	---M--	302	error ('Found')	text/plain	date:Fri,%2026%20Sep%202025%2018:32:41%20GMT	https://unpkg.com/sweetalert/dist/sweetalert.min.js	C:/Mes%20Sites%20Web/redact/unpkg.com/sweetalert/dist/sweetalert.min.2.delayed	(from https://mes-services-enligne-espace-ca.onrender.com/)
20:32:42	40808/40808	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2027%20Aug%202025%2002:50:50%20GMT	https://unpkg.com/sweetalert@2.1.2/dist/sweetalert.min.js	C:/Mes%20Sites%20Web/redact/unpkg.com/sweetalert@2.1.2/dist/sweetalert.min.js	(from https://mes-services-enligne-espace-ca.onrender.com/)
20:32:42	906/906	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f80f12283d312bd9be5579b718c2e188%22	https://mes-services-enligne-espace-ca.onrender.com/Java.js	C:/Mes%20Sites%20Web/redact/mes-services-enligne-espace-ca.onrender.com/Java.js	(from https://mes-services-enligne-espace-ca.onrender.com/)
20:32:43	122657/122657	---M--	200	added ('OK')	image/png	etag:%2253b79ac943e4a2caab439249636c6ef5%22	https://mes-services-enligne-espace-ca.onrender.com/img/bnp-alone.png	C:/Mes%20Sites%20Web/redact/mes-services-enligne-espace-ca.onrender.com/img/bnp-alone.png	(from https://mes-services-enligne-espace-ca.onrender.com/)
20:32:43	8239/8239	---MCZ	200	added ('OK')	text/html	etag:W/%2232f4afd491fe494a710a412470b12ee8%22	https://mes-services-enligne-espace-ca.onrender.com/solde.html	C:/Mes%20Sites%20Web/redact/mes-services-enligne-espace-ca.onrender.com/solde.html	(from https://mes-services-enligne-espace-ca.onrender.com/)
20:32:44	46/46	---M--	301	error ('Moved%20Permanently')	text/plain	date:Fri,%2026%20Sep%202025%2011:21:06%20GMT	https://cdn.lordicon.com/fudrjiwc.js	C:/Mes%20Sites%20Web/redact/cdn.lordicon.com/fudrjiwc.7.delayed	(from https://mes-services-enligne-espace-ca.onrender.com/solde.html)
